Date,Open,High,Low,Close,Volume,Change,Code
2016-11-10,196360,215267,182541,209449,4820808,,207940
2016-11-11,217450,271267,206541,234903,5466482,0.12152839115966185,207940
2016-11-14,239994,258176,239994,255268,1999214,0.08669535936109796,207940
2016-11-15,260358,263994,236359,241449,1741200,-0.05413526176410677,207940
2016-11-16,245085,251631,237813,247267,1115367,0.024096185944029624,207940
2016-11-17,256722,258176,243631,243631,612594,-0.014704752352719952,207940
2016-11-18,242904,244358,229085,244358,881327,0.002984020916878327,207940
2016-11-21,243631,250175,238540,245813,431194,0.0059543784120019705,207940
2016-11-22,247267,253085,245813,248721,381581,0.011830131034566982,207940
2016-11-23,250904,250904,239994,241449,308281,-0.029237579456499407,207940
2016-11-24,239994,240722,226177,226177,562656,-0.06325145268773114,207940
2016-11-25,223995,237813,222541,235632,471650,0.04180354324268154,207940
2016-11-28,234176,240722,231268,234903,276213,-0.0030938072927276794,207940
2016-11-29,229085,231268,219631,228358,600278,-0.0278625645479198,207940
2016-11-30,226904,230539,218904,223995,1641798,-0.01910596519500085,207940
2016-12-01,223268,223995,209449,210176,572320,-0.061693341369226995,207940
2016-12-02,210176,212359,202177,206541,471770,-0.01729502892813639,207940
2016-12-05,208722,213086,206541,206541,273278,0.0,207940
2016-12-06,207268,215267,207268,212359,275087,0.028168741315283574,207940
2016-12-07,213086,221086,213086,218904,232123,0.030820450275241384,207940
2016-12-08,221813,224722,213813,218904,241586,0.0,207940
2016-12-09,218904,218904,210176,210903,193560,-0.03655026861089794,207940
2016-12-12,210903,215267,207268,207995,211386,-0.013788329231921748,207940
2016-12-13,208722,211632,205086,211632,161625,0.01748599725954958,207940
2016-12-14,213813,213813,207268,208722,124858,-0.013750283511000272,207940
2016-12-15,207268,209449,205086,207268,135886,-0.0069662038500972745,207940
2016-12-16,207995,210176,205813,210176,156133,0.014030144547156231,207940
2016-12-19,209449,219631,207995,218177,237865,0.03806809531059674,207940
2016-12-20,220358,223268,218177,220358,178768,0.009996470755395892,207940
2016-12-21,221813,222541,215267,215267,98807,-0.023103313698617733,207940
2016-12-22,215267,216723,209449,209449,104245,-0.027026901475841636,207940
2016-12-23,209449,213086,209449,209449,58094,0.0,207940
2016-12-26,210903,211632,209449,209449,42297,0.0,207940
2016-12-27,209449,213813,209449,211632,72375,0.010422584972952897,207940
2016-12-28,214540,225449,213813,221086,212720,0.0446718832690709,207940
2016-12-29,219631,221813,217450,219631,84528,-0.006581149416968968,207940
2017-01-02,220358,229812,219631,227631,162670,0.03642473057082096,207940
2017-01-03,227631,229812,224722,229812,109896,0.009581296044914867,207940
2017-01-04,231995,234176,224722,224722,120968,-0.02214853880563239,207940
2017-01-05,226904,229812,226904,229085,64470,0.019415099545215808,207940
2017-01-06,229812,230539,226177,229085,59163,0.0,207940
2017-01-09,229085,229812,222541,224722,83858,-0.019045332518497493,207940
2017-01-10,223995,223995,218904,219631,105226,-0.02265465775491493,207940
2017-01-11,220358,234176,220358,231268,237059,0.05298432370658057,207940
2017-01-12,229085,230539,224722,228358,101896,-0.01258280436549808,207940
2017-01-13,225449,229812,221813,222541,124317,-0.025473160563676323,207940
2017-01-16,223995,224722,219631,220358,84297,-0.009809428374996099,207940
2017-01-17,219631,223995,218177,221086,74503,0.003303714863994056,207940
2017-01-18,222541,223268,221086,222541,49470,0.006581149416968968,207940
2017-01-19,226177,227631,221086,221813,64732,-0.0032713073096642953,207940
2017-01-20,221813,226177,221086,225449,53555,0.016392186210907322,207940
2017-01-23,226904,227631,223995,226177,60104,0.0032291116837954714,207940
2017-01-24,226177,226904,221813,225449,75397,-0.0032187180836247276,207940
2017-01-25,226904,227631,221813,225449,94472,0.0,207940
2017-01-26,227631,238540,226177,234176,273435,0.03870941986879517,207940
2017-01-31,235632,238540,233449,234176,153767,0.0,207940
2017-02-01,235632,237086,231995,237086,92813,0.012426550970210393,207940
2017-02-02,237813,251631,236359,249448,401456,0.052141417038543025,207940
2017-02-03,252358,256722,249448,251631,268216,0.008751322921009663,207940
2017-02-06,250175,250904,242904,245085,168904,-0.02601428281888951,207940
2017-02-07,245085,250904,242904,249448,142865,0.01780198706571179,207940
2017-02-08,249448,250175,234903,237086,251193,-0.049557422789519245,207940
2017-02-09,237086,241449,233449,234176,147311,-0.012274027146267574,207940
2017-02-10,232722,234176,226904,229812,473250,-0.018635556162886036,207940
2017-02-13,226904,231995,226177,229812,118996,0.0,207940
2017-02-14,229812,231995,227631,227631,101285,-0.00949036603832698,207940
2017-02-15,226904,234903,226904,233449,87582,0.02555890893595336,207940
2017-02-16,234176,236359,230539,231268,89024,-0.009342511640658135,207940
2017-02-17,226177,233449,225449,233449,129601,0.009430617292491839,207940
2017-02-20,231995,234903,231268,234176,51171,0.003114170546886008,207940
2017-02-21,234176,241449,233449,240722,110100,0.027953334244328998,207940
2017-02-22,242177,242904,238540,239994,71607,-0.0030242354250962222,207940
2017-02-23,239994,244358,239994,244358,97074,0.018183787928031547,207940
2017-02-24,243631,244358,239994,240722,56453,-0.014879807495559838,207940
2017-02-27,242904,243631,238540,242177,59987,0.006044316680652306,207940
2017-02-28,242904,244358,236359,239267,101733,-0.012016004822918758,207940
2017-03-02,239994,241449,234176,234903,101465,-0.018239038396435814,207940
2017-03-03,234903,237086,233449,235632,49427,0.0031034086410135497,207940
2017-03-06,236359,240722,235632,239267,63118,0.015426597406124731,207940
2017-03-07,239267,244358,237813,244358,92554,0.021277484985392947,207940
2017-03-08,245813,250175,244358,247267,182139,0.011904664467707216,207940
2017-03-09,247267,248721,244358,244358,73590,-0.011764610724439573,207940
2017-03-10,244358,248721,242904,248721,100276,0.01785495052341246,207940
2017-03-13,247267,251631,246540,251631,92559,0.011699856465678504,207940
2017-03-14,250904,254539,247267,248721,89477,-0.011564552857159849,207940
2017-03-15,248721,252358,245085,252358,89682,0.014622810297481914,207940
2017-03-16,253085,256722,253085,256722,126916,0.01729289342917606,207940
2017-03-17,255995,263267,255268,262540,203348,0.022662646754076476,207940
2017-03-20,261813,273448,257449,272721,243504,0.03877885274624826,207940
2017-03-21,272721,290176,271267,280722,332597,0.029337674766519717,207940
